id,name,mail,test_1,test_2,sum
202630001,九看　あいう,r26001@kyushu-ns.ac.jp,35,28,63
202630002,九看　かきく,r26002@kyushu-ns.ac.jp,45,39,84
202630003,九看　さしす,r26003@kyushu-ns.ac.jp,40,42,82
202630004,九看　たちつ,r26004@kyushu-ns.ac.jp,39,35,74
202630005,九看　なにぬ,r26005@kyushu-ns.ac.jp,47,45,92
202630006,九看　はひふ,r26006@kyushu-ns.ac.jp,43,48,91
202630007,九看　まみむ,r26007@kyushu-ns.ac.jp,32,25,57
202630008,九看　やゆよ,r26008@kyushu-ns.ac.jp,30,31,61
202630009,九看　らりる,r26009@kyushu-ns.ac.jp,25,29,54
202630010,九看　わをん,r26010@kyushu-ns.ac.jp,47,48,95
